setpoint,sensor,diff_dist
2,bump,-11
2,bump,10
2,bump,-34
2,bump,40
2,bump,50
2,bump,-100
2,bump,65
2,bump,30
2,bump,-103.38
2,bump,-110.62
2,bump,-88
2,bump,-110
2,bump,87
2,bump,-89
2,bump,64
2,bump,-893
2,bump,-793
2,bump,-993
2,bump,-893
2,bump,-1193
3,bump,6
3,bump,10
3,bump,25
3,bump,-55
3,bump,-16
3,bump,-8
3,bump,10
3,bump,8
3,bump,-11
3,bump,-26
3,bump,-44
3,bump,-10
3,bump,6
3,bump,-10
3,bump,-8
3,bump,-22
3,bump,-6
3,bump,14
3,bump,-34
3,bump,-64
4,bump,12
4,bump,-18
4,bump,35
4,bump,-42
4,bump,-9
4,bump,20
4,bump,-15
4,bump,28
4,bump,-33
4,bump,-6
4,bump,14
4,bump,-21
4,bump,8
4,bump,-12
4,bump,30
4,bump,-58
4,bump,-25
4,bump,19
4,bump,-41
4,bump,7
5,bump,22
5,bump,-18
5,bump,35
5,bump,-27
5,bump,14
5,bump,-31
5,bump,8
5,bump,25
5,bump,-22
5,bump,17
5,bump,-10
5,bump,32
5,bump,-29
5,bump,11
5,bump,-15
5,bump,28
5,bump,-35
5,bump,6
5,bump,-12
5,bump,19
6,bump,38
6,bump,-42
6,bump,25
6,bump,-31
6,bump,44
6,bump,-28
6,bump,19
6,bump,-35
6,bump,41
6,bump,-22
6,bump,33
6,bump,-39
6,bump,14
6,bump,-27
6,bump,29
6,bump,-33
6,bump,22
6,bump,-46
6,bump,31
6,bump,-18
7,bump,52
7,bump,-48
7,bump,39
7,bump,-56
7,bump,44
7,bump,-35
7,bump,58
7,bump,-41
7,bump,33
7,bump,-60
7,bump,49
7,bump,-28
7,bump,42
7,bump,-53
7,bump,37
7,bump,-46
7,bump,55
7,bump,-32
7,bump,40
7,bump,-51
